customer_id,age_group,household_size,household_type,income_decile,income_level,residence_type,disposable_income,monthly_food_budget,mart_fresh_budget,price_sensitivity,freshness_sensitivity,basket_size_factor,visit_lambda_year,visit_frequency,preferred_category,pref_produce,pref_meat,pref_dairy,pref_deli,pref_cheese
CUS000152,50s,5+,family,10,high,apartment,10674991,719515,32378,0.1882,0.7334,1.252,56.2,medium,produce,0.3627,0.1921,0.1983,0.1607,0.0863
CUS000153,40s,3~4,family,9,high,villa,6734142,584228,26290,0.4046,0.6381,1.11,93.1,medium,produce,0.4481,0.279,0.101,0.0225,0.1494
CUS000154,40s,1,single,1,low,apartment,597808,153525,6909,0.7772,0.7272,0.897,112.8,high,meat,0.3006,0.3688,0.2044,0.0896,0.0365
CUS000155,20s,2,couple,4,middle,villa,2650689,395706,17807,0.539,0.6589,1.0,122.6,high,produce,0.2794,0.1866,0.1681,0.2618,0.1041
CUS000156,20s,1,single,5,middle,apartment,3185740,221439,9965,0.5414,0.6141,0.897,86.4,medium,produce,0.3064,0.099,0.1799,0.2487,0.1659
CUS000157,60_plus,2,senior,5,middle,apartment,3185740,420978,18944,0.4825,0.8521,1.0,93.3,medium,produce,0.5783,0.148,0.2307,0.0129,0.03
CUS000158,40s,1,single,9,high,single_household,6734142,283922,12776,0.293,0.6766,0.897,56.2,medium,produce,0.4158,0.2021,0.2529,0.0446,0.0845
CUS000159,50s,3~4,family,9,high,apartment,6734142,699808,31491,0.3652,0.8668,1.11,42.5,low,produce,0.3509,0.3276,0.1079,0.1247,0.0889
CUS000160,60_plus,2,senior,5,middle,apartment,3185740,376226,16930,0.4827,0.5963,1.0,98.3,medium,produce,0.5652,0.2113,0.1305,0.0546,0.0385
CUS000161,40s,1,single,5,middle,single_household,3185740,190444,8570,0.523,0.8089,0.897,15.0,low,meat,0.3621,0.3814,0.1562,0.0589,0.0414
CUS000162,60_plus,1,senior,7,middle,single_household,4564124,320752,14434,0.515,0.8243,0.897,70.1,medium,produce,0.5175,0.1664,0.2324,0.0684,0.0152
CUS000163,60_plus,2,senior,7,middle,single_household,4564124,519412,23374,0.428,0.7812,1.0,129.4,high,produce,0.59,0.1041,0.0764,0.1314,0.0981
CUS000164,30s,1,single,6,middle,villa,3778538,280191,12609,0.5606,0.6632,0.897,61.7,medium,produce,0.3622,0.2884,0.1172,0.1948,0.0373
CUS000165,60_plus,1,senior,1,low,villa,597808,166428,7489,0.849,0.858,0.897,110.0,high,produce,0.5062,0.21,0.1516,0.0416,0.0905
CUS000166,50s,3~4,family,8,high,apartment,5406144,501051,22547,0.5172,0.82,1.11,109.4,medium,meat,0.3081,0.4032,0.1627,0.0792,0.0468
CUS000167,60_plus,1,senior,8,high,apartment,5406144,406937,18312,0.4883,0.8744,0.897,156.7,high,produce,0.6399,0.2228,0.1266,0.0053,0.0054
CUS000168,50s,3~4,family,5,middle,apartment,3185740,432801,19476,0.5231,0.9343,1.11,69.1,medium,meat,0.2973,0.3333,0.1664,0.1903,0.0127
CUS000169,40s,3~4,family,10,high,villa,10674991,743793,33471,0.4353,0.7281,1.11,110.7,high,meat,0.2778,0.3063,0.2899,0.1153,0.0107
