customer_id,age_group,household_type,income_level,residence_type,price_sensitivity,freshness_sensitivity,preferred_category,visit_frequency
CUS000125,20s,single,low,apartment,0.67,0.66,cheese,medium
CUS000126,40s,single,middle,apartment,0.74,0.83,meat,medium
CUS000127,30s,couple,middle,apartment,0.48,0.89,meat,high
CUS000128,20s,family,low,apartment,0.76,0.75,meat,medium
CUS000129,20s,single,low,single_household,0.93,0.66,deli,medium
CUS000130,40s,couple,middle,apartment,0.22,0.7,deli,medium
CUS000131,20s,family,middle,apartment,0.83,0.61,dairy,medium
CUS000132,60_plus,senior,middle,apartment,0.33,0.95,dairy,low
CUS000133,40s,couple,high,apartment,0.5,0.89,meat,medium
CUS000134,30s,single,high,single_household,0.4,0.87,deli,low
CUS000135,40s,family,middle,apartment,0.75,0.76,dairy,low
CUS000136,20s,couple,low,villa,0.81,0.63,produce,high
CUS000137,60_plus,senior,low,apartment,0.78,0.87,meat,high
CUS000138,40s,family,low,villa,0.71,0.58,produce,medium
CUS000139,50s,couple,middle,villa,0.7,0.89,cheese,medium
CUS000140,20s,couple,low,villa,0.73,0.84,cheese,medium
CUS000141,40s,family,high,apartment,0.53,0.69,dairy,medium
CUS000142,40s,family,high,apartment,0.35,0.88,produce,low
CUS000143,60_plus,senior,middle,single_household,0.34,0.82,produce,medium
CUS000144,40s,family,middle,apartment,0.32,0.86,produce,high
CUS000145,40s,family,high,apartment,0.31,0.92,cheese,medium
CUS000146,30s,senior,high,villa,0.62,0.79,meat,medium
CUS000147,30s,single,low,villa,0.54,0.75,meat,medium
CUS000148,40s,family,middle,apartment,0.36,0.74,deli,high
CUS000149,30s,family,low,villa,0.47,0.43,meat,medium
CUS000150,20s,family,middle,apartment,0.64,0.72,deli,medium
CUS000151,50s,family,high,apartment,0.77,0.89,cheese,medium
CUS000152,50s,couple,low,single_household,0.35,0.69,cheese,low
CUS000153,20s,couple,middle,villa,0.52,0.4,deli,high
CUS000154,40s,couple,low,single_household,0.56,0.71,deli,high
CUS000155,20s,single,low,single_household,0.93,0.48,deli,medium
CUS000156,40s,family,low,apartment,0.69,0.76,dairy,high
CUS000157,30s,family,middle,villa,0.31,0.64,meat,medium
CUS000158,40s,family,middle,apartment,0.41,0.73,cheese,medium
CUS000159,50s,family,low,apartment,0.68,0.77,produce,low
CUS000160,50s,family,middle,apartment,0.32,0.84,meat,medium
CUS000161,20s,senior,middle,villa,0.46,0.88,meat,high
CUS000162,60_plus,single,high,single_household,0.51,0.96,meat,medium
CUS000163,30s,single,low,single_household,0.65,0.74,produce,medium
CUS000164,20s,family,low,apartment,0.7,0.74,meat,medium
CUS000165,40s,family,middle,apartment,0.52,0.86,cheese,low
CUS000166,30s,couple,middle,apartment,0.58,0.68,meat,high
CUS000167,50s,single,middle,apartment,0.42,0.85,produce,medium
CUS000168,50s,senior,middle,villa,0.45,0.9,meat,medium
CUS000169,30s,single,middle,apartment,0.61,0.83,meat,low
CUS000170,60_plus,couple,middle,apartment,0.62,0.95,meat,medium
CUS000171,30s,family,middle,villa,0.23,0.43,produce,high
CUS000172,40s,senior,low,apartment,0.44,0.55,produce,medium
CUS000173,30s,senior,middle,villa,0.62,0.97,dairy,medium
CUS000174,60_plus,single,middle,single_household,0.47,0.9,dairy,medium
CUS000175,20s,family,low,villa,0.51,0.66,cheese,high
CUS000176,20s,couple,low,apartment,0.89,0.74,produce,low
CUS000177,30s,couple,high,apartment,0.18,0.57,meat,high
CUS000178,60_plus,senior,middle,apartment,0.78,0.65,produce,medium
CUS000179,50s,family,high,apartment,0.14,0.89,produce,high
CUS000180,50s,single,middle,single_household,0.43,0.61,dairy,low
CUS000181,50s,senior,middle,apartment,0.46,0.52,produce,medium
CUS000182,50s,family,high,apartment,0.57,0.86,dairy,medium
CUS000183,40s,family,middle,villa,0.44,0.87,produce,low
CUS000184,30s,senior,middle,single_household,0.21,0.61,dairy,medium
CUS000185,50s,couple,middle,apartment,0.63,0.67,dairy,low
CUS000186,40s,family,high,apartment,0.46,0.94,meat,low
CUS000187,30s,single,high,single_household,0.49,0.81,meat,high
CUS000188,20s,single,low,single_household,0.6,0.61,produce,medium
CUS000189,50s,family,middle,apartment,0.4,0.81,dairy,high
CUS000190,30s,couple,high,villa,0.54,0.89,cheese,low
CUS000191,60_plus,senior,middle,single_household,0.56,0.69,produce,low
CUS000192,30s,family,middle,apartment,0.62,0.87,dairy,medium
CUS000193,20s,single,low,villa,0.47,0.56,cheese,medium
CUS000194,50s,senior,high,single_household,0.39,0.92,produce,medium
CUS000195,20s,single,middle,single_household,0.64,0.59,meat,medium
CUS000196,20s,single,low,villa,0.73,0.63,dairy,medium
CUS000197,40s,couple,high,single_household,0.61,0.89,meat,low
CUS000198,50s,senior,middle,villa,0.3,0.82,dairy,medium
CUS000199,20s,couple,high,single_household,0.66,0.79,dairy,medium
CUS000200,30s,family,low,apartment,0.87,0.78,dairy,high
CUS000201,50s,couple,low,apartment,0.69,0.73,meat,medium
CUS000202,60_plus,senior,middle,villa,0.49,0.97,meat,medium
CUS000203,40s,family,middle,apartment,0.59,0.87,produce,low
CUS000204,20s,couple,low,apartment,0.76,0.55,dairy,medium
CUS000205,20s,single,low,single_household,0.73,0.77,produce,low
CUS000206,30s,couple,high,single_household,0.62,0.85,dairy,medium
CUS000207,20s,single,middle,apartment,0.81,0.59,deli,medium
CUS000208,40s,couple,middle,apartment,0.64,0.63,dairy,high
CUS000209,20s,couple,middle,single_household,0.37,0.78,deli,low
CUS000210,40s,couple,high,apartment,0.39,0.94,produce,low
CUS000211,40s,family,middle,apartment,0.48,0.75,dairy,medium
CUS000212,40s,family,middle,apartment,0.37,0.77,cheese,medium
CUS000213,20s,single,low,single_household,0.83,0.45,produce,medium
CUS000214,50s,family,low,single_household,0.69,0.82,deli,medium
CUS000215,50s,senior,high,apartment,0.34,1.0,meat,low
CUS000216,50s,senior,high,single_household,0.63,0.63,meat,high
CUS000217,20s,senior,low,villa,0.62,0.84,cheese,high
CUS000218,20s,couple,middle,villa,0.81,0.82,meat,low
CUS000219,60_plus,senior,middle,single_household,0.6,0.69,cheese,medium
CUS000220,30s,family,middle,apartment,0.54,0.88,deli,medium
CUS000221,30s,family,middle,apartment,0.41,0.72,produce,high
CUS000222,40s,family,middle,apartment,0.24,0.95,dairy,high
CUS000223,40s,family,low,apartment,0.76,0.8,produce,high
CUS000224,60_plus,senior,middle,villa,0.52,0.65,produce,low
CUS000225,30s,family,middle,villa,0.73,0.77,dairy,high
CUS000226,60_plus,senior,middle,apartment,0.42,0.91,produce,high
CUS000227,20s,single,low,apartment,0.57,0.75,deli,medium
CUS000228,40s,family,middle,villa,0.2,0.9,dairy,high
CUS000229,40s,family,middle,apartment,0.56,0.78,meat,medium
CUS000230,20s,single,middle,single_household,0.73,0.82,deli,low
CUS000231,20s,couple,middle,villa,0.8,0.69,produce,high
CUS000232,30s,family,middle,apartment,0.45,0.72,cheese,high
CUS000233,60_plus,senior,middle,villa,0.42,0.76,produce,medium
CUS000234,40s,family,low,apartment,0.41,0.43,dairy,medium
CUS000235,60_plus,couple,high,apartment,0.58,0.64,dairy,high
CUS000236,50s,single,middle,apartment,0.53,0.92,deli,low
CUS000237,40s,family,middle,apartment,0.32,0.79,dairy,medium
CUS000238,50s,family,middle,apartment,0.48,0.72,meat,low
CUS000239,20s,single,low,apartment,0.51,0.68,meat,low
CUS000240,20s,family,middle,villa,0.68,0.56,meat,low
CUS000241,50s,senior,middle,single_household,0.49,0.64,meat,medium
CUS000242,50s,single,low,single_household,0.81,0.7,deli,low
CUS000243,30s,single,low,villa,0.84,0.68,cheese,high
CUS000244,40s,couple,high,single_household,0.37,0.8,dairy,low
CUS000245,40s,family,middle,villa,0.49,0.66,deli,medium
CUS000246,50s,couple,high,apartment,0.45,0.93,deli,medium
CUS000247,40s,family,middle,apartment,0.54,0.91,produce,low
CUS000248,30s,single,low,single_household,0.68,0.52,produce,medium
CUS000249,30s,family,high,apartment,0.47,0.78,meat,medium
CUS000250,30s,family,middle,apartment,0.4,0.86,dairy,medium
CUS000251,40s,senior,low,apartment,0.6,0.89,produce,medium
CUS000252,50s,family,middle,single_household,0.71,0.81,meat,medium
CUS000253,40s,single,low,single_household,0.5,0.6,cheese,medium
CUS000254,30s,couple,high,apartment,0.57,0.86,meat,low
CUS000255,30s,couple,high,villa,0.13,0.82,meat,medium
CUS000256,50s,family,high,apartment,0.36,0.8,dairy,medium
CUS000257,50s,family,high,villa,0.27,1.0,meat,high
CUS000258,20s,single,low,single_household,0.32,0.69,meat,medium
CUS000259,20s,single,middle,single_household,0.68,0.72,cheese,medium
CUS000260,40s,family,high,villa,0.51,0.95,meat,low
CUS000261,20s,single,high,apartment,0.66,0.67,deli,medium
CUS000262,50s,single,middle,apartment,0.49,0.66,cheese,high
CUS000263,30s,couple,middle,apartment,0.67,0.7,cheese,low
CUS000264,20s,couple,middle,apartment,0.67,0.57,meat,medium
CUS000265,60_plus,couple,low,apartment,0.45,0.63,produce,high
CUS000266,20s,senior,high,apartment,0.69,0.75,produce,medium
CUS000267,30s,family,high,villa,0.63,0.57,cheese,high
CUS000268,20s,family,middle,apartment,0.35,0.72,produce,medium
CUS000269,20s,single,low,single_household,0.37,0.66,deli,high
CUS000270,20s,family,low,apartment,0.64,0.85,deli,low
CUS000271,20s,single,low,apartment,0.91,0.77,dairy,medium
CUS000272,20s,couple,low,villa,0.88,0.57,meat,medium
CUS000273,20s,family,middle,apartment,0.61,0.55,cheese,low
CUS000274,40s,family,low,apartment,0.56,0.55,meat,medium
CUS000275,40s,couple,middle,villa,0.61,0.58,cheese,medium
CUS000276,30s,couple,middle,apartment,0.73,0.78,deli,medium
CUS000277,30s,couple,middle,villa,0.73,0.71,produce,medium
CUS000278,40s,family,high,apartment,0.53,0.88,dairy,low
CUS000279,50s,family,high,apartment,0.21,0.69,meat,medium
CUS000280,50s,couple,high,single_household,0.39,0.84,produce,medium
CUS000281,20s,single,low,single_household,0.76,0.72,cheese,medium
CUS000282,20s,senior,middle,apartment,0.58,0.77,deli,low
CUS000283,30s,single,high,single_household,0.53,0.83,deli,high
CUS000284,30s,family,high,apartment,0.51,0.75,produce,low
CUS000285,40s,single,middle,apartment,0.66,0.67,deli,medium
CUS000286,30s,family,low,apartment,0.63,0.62,produce,medium
CUS000287,20s,single,low,single_household,0.76,0.8,deli,low
CUS000288,30s,single,high,single_household,0.41,0.71,deli,high
CUS000289,40s,family,middle,villa,0.6,0.85,dairy,medium
CUS000290,20s,single,low,single_household,0.53,0.73,meat,low
CUS000291,50s,family,middle,apartment,0.3,0.75,deli,medium
CUS000292,20s,single,low,single_household,0.73,0.79,deli,low
CUS000293,60_plus,senior,low,single_household,0.52,0.84,deli,medium
CUS000294,20s,family,high,apartment,0.65,0.88,dairy,low
CUS000295,50s,couple,middle,single_household,0.62,0.67,deli,medium
CUS000296,60_plus,senior,middle,apartment,0.41,1.0,cheese,medium
CUS000297,60_plus,senior,high,single_household,0.57,0.93,dairy,medium
CUS000298,50s,single,high,single_household,0.12,0.93,deli,medium
CUS000299,50s,senior,middle,villa,0.33,1.0,dairy,medium
CUS000300,40s,family,middle,apartment,0.74,0.79,deli,medium
CUS000301,50s,family,high,apartment,0.69,0.57,cheese,medium
CUS000302,20s,single,low,single_household,0.8,0.79,deli,medium
CUS000303,40s,family,low,apartment,0.78,0.83,cheese,low
CUS000304,40s,couple,middle,villa,0.51,0.81,produce,medium
CUS000305,50s,couple,middle,apartment,0.7,0.51,produce,low
CUS000306,40s,family,middle,apartment,0.21,0.61,meat,high
CUS000307,30s,couple,low,single_household,0.54,0.71,meat,medium
CUS000308,40s,family,middle,apartment,0.45,0.86,dairy,medium
CUS000309,30s,couple,high,single_household,0.31,0.79,dairy,low
CUS000310,20s,family,low,villa,0.69,0.52,dairy,high
CUS000311,40s,senior,middle,apartment,0.63,0.49,produce,high
CUS000312,30s,family,middle,single_household,0.54,0.65,produce,low
CUS000313,30s,family,low,apartment,0.56,0.69,cheese,medium
CUS000314,30s,family,high,villa,0.49,0.94,cheese,high
CUS000315,30s,family,middle,apartment,0.59,0.82,deli,medium
CUS000316,30s,single,low,single_household,0.38,0.86,cheese,low
CUS000317,30s,couple,high,single_household,0.39,0.91,deli,low
CUS000318,40s,family,middle,villa,0.33,0.78,dairy,medium
CUS000319,30s,single,high,villa,0.24,0.65,meat,low
CUS000320,60_plus,couple,middle,single_household,0.34,0.94,produce,medium
CUS000321,60_plus,senior,middle,apartment,0.67,0.85,produce,high
CUS000322,40s,senior,low,apartment,0.84,0.5,dairy,low
CUS000323,30s,family,middle,apartment,0.48,0.81,produce,low
CUS000324,40s,couple,low,apartment,0.58,0.86,meat,high
CUS000325,50s,couple,high,single_household,0.59,0.62,produce,medium
CUS000326,40s,family,middle,apartment,0.69,0.79,meat,medium
CUS000327,50s,family,high,apartment,0.37,0.8,dairy,high
CUS000328,40s,family,middle,single_household,0.51,0.44,produce,low
CUS000329,40s,family,middle,single_household,0.66,0.85,meat,medium
CUS000330,30s,couple,middle,apartment,0.72,0.49,cheese,medium
CUS000331,50s,senior,middle,villa,0.62,0.84,cheese,low
CUS000332,30s,family,low,apartment,0.5,0.56,deli,low
CUS000333,40s,family,low,apartment,0.82,0.83,produce,low
CUS000334,50s,couple,middle,apartment,0.27,0.69,deli,medium
CUS000335,20s,single,low,single_household,0.83,0.52,dairy,medium
CUS000336,40s,couple,high,apartment,0.38,0.82,cheese,high
CUS000337,20s,couple,high,villa,0.32,0.53,dairy,low
CUS000338,50s,senior,middle,single_household,0.48,0.9,dairy,medium
CUS000339,20s,couple,low,single_household,0.73,0.54,produce,medium
CUS000340,60_plus,family,middle,apartment,0.42,1.0,dairy,medium
CUS000341,20s,single,middle,apartment,0.79,0.46,deli,low
CUS000342,60_plus,couple,low,single_household,0.91,0.68,produce,medium
CUS000343,50s,couple,high,single_household,0.45,0.6,cheese,medium
CUS000344,40s,single,high,apartment,0.28,0.5,dairy,medium
CUS000345,50s,family,low,villa,0.55,0.94,produce,medium
CUS000346,50s,couple,high,apartment,0.17,0.54,meat,medium
CUS000347,60_plus,senior,high,villa,0.49,0.93,dairy,low
CUS000348,30s,single,middle,single_household,0.33,0.36,deli,low
CUS000349,40s,family,middle,apartment,0.32,0.84,dairy,low
CUS000350,20s,couple,low,apartment,0.62,0.64,cheese,high
CUS000351,40s,family,high,apartment,0.3,0.61,meat,medium
CUS000352,20s,couple,low,single_household,0.46,0.57,deli,medium
CUS000353,40s,couple,middle,apartment,0.58,0.55,produce,low
CUS000354,40s,family,low,apartment,0.58,0.57,dairy,low
CUS000355,40s,family,middle,single_household,0.52,0.69,produce,medium
CUS000356,40s,family,middle,apartment,0.67,0.62,deli,medium
CUS000357,50s,single,middle,single_household,0.45,0.84,deli,medium
CUS000358,50s,senior,high,villa,0.42,0.88,dairy,medium
CUS000359,40s,family,high,apartment,0.42,0.92,dairy,medium
CUS000360,40s,family,middle,apartment,0.39,0.87,produce,medium
CUS000361,60_plus,senior,middle,apartment,0.53,0.5,dairy,low
CUS000362,20s,single,middle,single_household,0.76,0.88,deli,medium
CUS000363,20s,single,middle,apartment,0.65,0.68,deli,low
CUS000364,20s,single,middle,apartment,0.76,0.6,dairy,high
CUS000365,40s,family,middle,apartment,0.39,0.78,dairy,high
CUS000366,30s,family,middle,apartment,0.55,0.91,produce,low
CUS000367,50s,couple,low,villa,0.54,0.66,cheese,medium
CUS000368,40s,family,high,apartment,0.69,0.81,meat,medium
CUS000369,30s,couple,low,apartment,0.57,0.76,cheese,low
CUS000370,50s,senior,high,single_household,0.38,0.76,meat,medium
CUS000371,50s,couple,middle,single_household,0.63,0.89,meat,low
CUS000372,30s,couple,middle,villa,0.56,0.63,produce,high
CUS000373,30s,family,high,apartment,0.41,0.79,cheese,medium
CUS000374,30s,single,high,single_household,0.39,0.67,produce,high
CUS000375,20s,senior,low,single_household,0.45,0.78,produce,low
CUS000376,20s,couple,high,villa,0.21,0.78,dairy,medium
CUS000377,60_plus,couple,middle,single_household,0.4,0.82,produce,medium
CUS000378,30s,couple,middle,apartment,0.54,0.85,cheese,low
CUS000379,30s,couple,middle,apartment,0.39,0.65,cheese,low
CUS000380,50s,couple,middle,apartment,0.66,0.88,dairy,low
CUS000381,40s,family,middle,apartment,0.54,0.85,meat,medium
CUS000382,60_plus,couple,middle,apartment,0.23,0.88,cheese,low
CUS000383,50s,senior,high,villa,0.32,0.88,meat,high
CUS000384,40s,family,middle,apartment,0.3,0.78,cheese,high
CUS000385,30s,family,high,apartment,0.48,0.96,cheese,medium
CUS000386,60_plus,senior,middle,single_household,0.65,0.83,produce,medium
CUS000387,50s,family,low,apartment,0.47,0.85,dairy,medium
CUS000388,60_plus,family,low,apartment,0.54,0.68,dairy,high
CUS000389,20s,family,middle,apartment,0.58,0.67,dairy,medium
CUS000390,50s,couple,low,apartment,0.71,0.61,dairy,low
CUS000391,40s,couple,middle,apartment,0.56,0.5,meat,medium
CUS000392,20s,couple,high,apartment,0.48,0.85,produce,medium
CUS000393,40s,family,high,apartment,0.3,0.94,produce,medium
CUS000394,40s,couple,low,apartment,0.52,0.65,meat,low
CUS000395,20s,family,low,apartment,0.56,0.62,cheese,low
CUS000396,40s,family,high,villa,0.3,0.96,deli,high
CUS000397,50s,family,low,apartment,0.6,0.43,deli,medium
CUS000398,30s,single,high,single_household,0.72,0.71,produce,medium
CUS000399,40s,family,middle,apartment,0.81,0.92,meat,low
CUS000400,30s,family,low,apartment,0.65,0.69,deli,medium
CUS000401,30s,senior,middle,single_household,0.62,0.8,produce,medium
CUS000402,60_plus,couple,low,villa,0.57,0.91,deli,medium
CUS000403,50s,couple,middle,apartment,0.69,0.66,deli,low
CUS000404,20s,single,low,single_household,0.73,0.69,dairy,medium
CUS000405,60_plus,senior,low,villa,0.44,0.65,produce,high
CUS000406,50s,senior,high,villa,0.37,0.78,cheese,medium
CUS000407,30s,family,low,apartment,0.57,0.48,dairy,low
CUS000408,50s,single,low,single_household,0.55,0.53,produce,medium
CUS000409,20s,single,low,single_household,0.85,0.73,dairy,medium
CUS000410,60_plus,senior,high,apartment,0.3,0.65,produce,low
CUS000411,40s,family,high,villa,0.63,0.75,meat,low
CUS000412,40s,family,high,apartment,0.25,0.69,meat,low
CUS000413,20s,couple,middle,villa,0.52,0.8,meat,medium
CUS000414,50s,family,high,villa,0.39,0.72,dairy,low
CUS000415,20s,single,middle,single_household,0.75,0.55,produce,medium
CUS000416,30s,couple,low,apartment,0.48,0.68,meat,medium
CUS000417,20s,single,low,single_household,0.52,0.48,produce,low
CUS000418,50s,single,middle,apartment,0.64,0.51,deli,medium
CUS000419,20s,couple,low,apartment,0.63,0.5,produce,medium
CUS000420,60_plus,single,middle,single_household,0.5,0.76,dairy,medium
CUS000421,40s,couple,high,single_household,0.41,0.94,deli,high
CUS000422,20s,family,low,apartment,0.84,0.74,meat,high
CUS000423,20s,couple,low,apartment,0.76,0.54,produce,medium
CUS000424,20s,single,middle,single_household,0.66,0.56,meat,medium
CUS000425,40s,family,low,apartment,0.77,0.64,meat,high
CUS000426,50s,family,high,apartment,0.49,0.96,cheese,medium
CUS000427,30s,family,middle,apartment,0.67,0.69,meat,low
CUS000428,50s,senior,middle,single_household,0.44,0.91,produce,high
CUS000429,20s,senior,low,apartment,0.56,0.49,deli,high
CUS000430,50s,family,high,villa,0.25,0.63,cheese,high
CUS000431,60_plus,senior,middle,villa,0.39,0.6,produce,high
CUS000432,50s,couple,middle,apartment,0.55,0.8,deli,medium
CUS000433,40s,family,middle,apartment,0.44,0.8,meat,high
CUS000434,50s,couple,high,single_household,0.36,0.78,meat,low
CUS000435,20s,single,low,single_household,0.38,0.73,dairy,medium
CUS000436,30s,single,middle,apartment,0.43,0.81,meat,medium
CUS000437,20s,single,low,single_household,0.69,0.56,produce,low
CUS000438,40s,single,high,single_household,0.49,0.72,deli,low
